sku;descripcion;marca;id_categoria;presentacion;unidadcm3;unidadkg;id_proveedor
1226;IMAGXX-XX-X-XXXLINA;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1227;IMAGXX-XX-X-XXXLINA;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1228;IMAGXX-XX-X-XXXTIDO;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1229;IMAGXX-XX-X-XXXCINO;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1230;IMAGXX-XX-X-XXXCINO;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1231;IMAGXX-XX-X-XXXSTER;SIN DEFINIR;95;Unidades;5;5;3
1232;IMAGXX-XX-X-XXXDITO;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1233;IMAGXX-XX-X-XXXDITO;SIN DEFINIR;95;Unidades;5;5;3
1234;IMAGXX-XX-X-XXXIBIO;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1235;IMAGXX-XX-X-XXXRTAS;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1236;IMAGXX-XX-X-XXXFRIO;SIN DEFINIR;95;Unidades;5;5;3
1237;PLOTXX-XX-X-XXXRIDO;GRIDO;95;Unidades;5;5;3
1238;IMAGXX-XX-X-XXXTINO;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1239;IMAGXX-XX-X-XXXLIAR;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1240;IMAGXX-XX-X-XXXFRIO;SIN DEFINIR;95;Unidades;5;5;3
1241;IMAGXX-XX-X-XXXCION;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1242;IMAGXX-XX-X-XXXSATA;SIN DEFINIR;95;Unidades;5;5;3
1243;IMAGXX-XX-X-XXXONES;SIN DEFINIR;95;Unidades;0;0.17000000000000001;3
1244;EXHIXX-XX-X-XXXCUPS;SIN DEFINIR;95;Unidades;0.13300000000000001;0.44;3
1245;IMAGXX-XX-X-XXXERAS;SIN DEFINIR;95;Unidades;4.0000000000000001E-2;0.33000000000000002;3
1246;CARTXX-XX-X-XXXADOR;SIN DEFINIR;95;Unidades;0;0;3
1247;JUEGXX-XX-X-XXXque);SIN DEFINIR;95;Unidades;5;5;3
1248;CARTXX-XX-X-XXXC) B;SIN DEFINIR;95;No Asignada;5;5;3
1249;CARTXX-XX-X-XXX0) B;SIN DEFINIR;95;No Asignada;5;5;3
1250;CARTXX-XX-X-XXX MTS;SIN DEFINIR;95;No Asignada;5;5;3
1251;IMAGXX-XX-X-XXXCION;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1252;IMAGXX-XX-X-XXXLIAR;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1253;FAJAXX-XX-X-XXXDRIO;SIN DEFINIR;95;No Asignada;0;0;3
1254;IMAGXX-XX-X-XXXTRES;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1255;CARTXX-XX-X-XXX.95);SIN DEFINIR;95;No Asignada;10;0;3
1256;IMAGXX-XX-X-XXXTRES;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1257;IMAGXX-XX-X-XXXITOS;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1258;IMAGXX-XX-X-XXXCAFE;GRIDO;95;No Asignada;0;0.17000000000000001;3
1259;IMAGXX-XX-X-XXX MTS;SIN DEFINIR;95;No Asignada;0;0;3
1260;IMAGXX-XX-X-XXXKILO;GRIDO;95;No Asignada;0;0.17000000000000001;3
1261;IMAGXX-XX-X-XXXTRES;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1262;IMAGXX-XX-X-XXXRTAS;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1263;IMAGXX-XX-X-XXXTINO;SIN DEFINIR;95;No Asignada;0;0.17000000000000001;3
1264;CHOMXX-XX-X-XXXe 12;SIN DEFINIR;96;Unidades;5;5;3
1265;PANTXX-XX-X-XXXE 32;GRIDO;96;No Asignada;5;5;3
1266;PANTXX-XX-X-XXXe 48;SIN DEFINIR;96;Unidades;5;5;3
1267;CHOMXX-XX-X-XXXe 14;SIN DEFINIR;96;Unidades;5;5;3
1268;CHOMXX-XX-X-XXXe 16;SIN DEFINIR;96;Unidades;5;5;3
1269;CHOMXX-XX-X-XXXle S;SIN DEFINIR;96;Unidades;5;5;3
